symbol,company_name,sector,date_min,date_max,date_count,close_mean,close_min,close_max,close_std,volume_mean,volume_sum,daily_return_mean,daily_return_std
MCB,MCB Bank Limited,Banking,2020-01-01,2026-02-12,1578,140.39460240449893,58.14504623413086,447.0799865722656,94.9601146827306,593172.7053231939,936026529,0.11000284461951412,1.5756649938896223
MEBL,Meezan Bank Limited,Banking,2020-01-01,2026-02-12,1578,136.86235786844117,24.257884979248047,514.0599975585938,116.10384875686121,1315450.1077313055,2075780270,0.17440923677801498,1.849726817476115
MLCF,Maple Leaf Cement Factory Limited,Cement,2020-01-01,2026-02-12,1578,43.07764259188499,16.739999771118164,130.3800048828125,23.05907567946251,7510132.238910013,11850988673,0.13059616868530655,2.556582620438566
MTL,Millat Tractors Limited,Automobile,2020-01-01,2026-02-12,1578,352.4160701814562,81.18368530273438,663.4532470703125,157.46202013914456,138233.32699619772,218132190,0.11292602796011025,1.7326632174997232
NATF,National Foods Limited,Food,2020-01-01,2026-02-12,1578,157.82633949927654,79.0549087524414,431.32000732421875,77.99380695018313,149003.88466413182,235128130,0.10017661426657676,1.9063933492481016
NCPL,Nishat Chunian Power Limited,Power,2020-01-01,2026-02-12,1578,15.580052679482522,4.629801273345947,86.9800033569336,11.307131617350626,1467054.5855513308,2315012136,0.17155975626421774,2.7232801376057547
NESTLE,Nestle Pakistan Limited,Food,2020-01-01,2026-02-12,1580,5911.312588694126,4284.9189453125,9476.67578125,1189.6111912647912,278.573417721519,440146,0.029635729477067278,1.6656604725974145
OGDC,Oil & Gas Development Company Limited,Oil & Gas,2020-01-01,2026-02-12,1578,108.82927042691578,47.305416107177734,333.8999938964844,67.84636631592703,4970720.520278834,7843796981,0.09994257282655955,2.1821634578670657
PAEL,Pakistan Aluminium Beverage Cans Limited,Manufacturing,2020-01-01,2026-02-12,1578,26.25166938513404,8.789999961853027,63.040000915527344,12.532843445371036,8142659.183776933,12849116192,0.088488622476688,2.831360116955383
PIOC,Pioneer Cement Limited,Cement,2020-01-01,2026-02-12,1578,115.63613988298579,19.91957664489746,421.3699951171875,77.4104356387621,1386137.7655259822,2187325394,0.20590700464341066,2.93250959909504
PKGS,Packages Limited,Paper & Board,2020-01-01,2026-02-12,1578,417.0677080045635,151.80136108398438,849.9400024414062,131.91837301782343,35336.90430925222,55761635,0.08761659683274152,1.9632919442364967
PPL,Pakistan Petroleum Limited,Oil & Gas,2020-01-01,2026-02-12,1578,97.6946569232433,44.467491149902344,281.5199890136719,49.3482508143924,4904616.868187579,7739485418,0.07570574944393274,2.3532288429375274
PSMC,Pak Suzuki Motor Company Limited,Automobile,2020-01-02,2024-04-24,1079,234.31476798777894,82.37999725341797,898.5700073242188,136.2525706475027,361432.62465245597,389985802,0.1372157897878408,2.9791984349012965
PSO,Pakistan State Oil Company Limited,Oil & Gas,2020-01-01,2026-02-12,1578,196.049161270393,87.02085876464844,503.2099914550781,107.27889636714757,2199375.4448669204,3470614452,0.09540058449104497,2.2204944322981035
SAZEW,Sazgar Engineering Works Limited,Automobile,2020-01-01,2026-02-12,1578,429.39815167087414,40.297813415527344,2455.81005859375,559.6346521126915,660467.2775665399,1042217364,0.25413746046883684,3.034676602191554
SEARL,The Searle Company Limited,Pharma,2020-01-01,2026-02-12,1578,92.4948026949613,34.540000915527344,162.5113525390625,34.06564963198782,3175051.434727503,5010231164,0.03746435936803605,2.5302460539693703
SNGP,Sui Northern Gas Pipelines Limited,Oil & Gas,2020-01-01,2026-02-12,1578,48.43518141527744,14.745923042297363,136.8068389892578,33.81944339714842,3374549.399873257,5325038953,0.10609244111507252,2.5570250420106304
SSGC,Sui Southern Gas Company Limited,Oil & Gas,2020-01-01,2026-02-12,1578,16.866733161215546,8.238804817199707,48.80210876464844,11.063238463449794,4658071.854879594,7350437387,0.06572179757972135,2.8680441334314026
SYS,Systems Limited,Technology,2020-01-01,2026-02-12,1578,317.98231754617245,41.778167724609375,630.048583984375,151.37223719531107,764402.2484157161,1206226748,0.3220190935985266,10.597645713219363
TELE,Telecard Limited,Technology,2020-01-01,2026-02-12,1578,8.236969777084273,0.8504980206489563,21.58139419555664,4.302918026847079,8849197.842205323,13964034195,0.21258491061602394,4.180952360688121
TRG,TRG Pakistan Limited,Technology,2020-01-01,2026-02-12,1578,83.33838048362007,11.254778861999512,177.2890625,37.463903727507095,9081399.901140684,14330449044,0.12012167477657455,3.3138086092940915
UBL,United Bank Limited,Banking,2020-01-01,2026-02-12,1579,165.9699922070011,55.282527923583984,523.4557495117188,124.68851233186722,1279350.8195060166,2020094944,0.2222327221465267,5.382414228882281
UNITY,Unity Foods Limited,Food,2020-01-01,2026-02-12,1578,24.03139019405283,7.162015914916992,49.36000061035156,7.914027863563794,8839564.507604564,13948832793,0.0510346468815347,2.7463899538780066
